NodeID	MNI_x	MNI_y	MNI_z	Desikan-Killiany_aparc_label	Chan_system_type	Power_system_label	Power_label	Power_red	Power_green	Power_blue	Vertex	Hemisphere	Chan_JON2017
54	-34.489	-28.834	50.244	Precentral_gyrus	Sensory-motor	Hand_somatomotor	4	0	1	1	7953	L	1
55	-48.794	-16.596	54.786	Postcentral_gyrus	Sensory-motor	Hand_somatomotor	4	0	1	1	7993	L	1
56	-51.221	-53.767	9.302	Banks_of_Superior_temporal_sulcus	N/A	Superior_temporal_gyrus	9	1	0.722	0.827	8365	L	1
57	-49.428	-51.56	38.901	Supramarginal_gyrus	N/A	Unknown_similar_to_Nelson_2010	26	1	0.706	0.353	8661	L	1
58	-60.471	-39.286	-0.99671	Middle_temporal_gyrus	Association	Default	3	1	0	0	8809	L	1
59	-54.466	-52.777	28.123	Supramarginal_gyrus	Association	Default	3	1	0	0	8964	L	1
60	-47.925	-39.614	1.541	Banks_of_Superior_temporal_sulcus	N/A	Superior_temporal_gyrus	9	1	0.722	0.827	9125	L	1
61	-56.84	-50.798	16.027	Superior_temporal_gyrus	N/A	Superior_temporal_gyrus	9	1	0.722	0.827	9150	L	1
62	-55.546	-45.242	27.049	Supramarginal_gyrus	Association	Cingulo-opercular_control	14	0.502	0	0.502	9479	L	1
63	-63.197	-35.896	14.764	Superior_temporal_gyrus	Sensory-motor	Auditory	24	1	0	1	9617	L	1
64	-61.944	-26.421	10.355	Superior_temporal_gyrus	Sensory-motor	Auditory	24	1	0	1	9756	L	1
65	-38.712	-37.863	15.805	Supramarginal_gyrus	Sensory-motor	Auditory	24	1	0	1	9934	L	1
66	-50.815	23.477	7.8989	Inferior_frontal_gyrus-pars_opercularis	Association	Ventral_attention	7	0	0.502	0.502	10113	L	1
67	-37.845	-12.289	-5.5952	Insular_cortex	N/A	Inferior_insula	25	0.773	0.773	0.773	10285	L	1
68	-38.972	4.0699	-7.279	Lateral_orbitofrontal_cortex	Association	Cingulo-opercular_control	14	0.502	0	0.502	10604	L	1
69	-35.455	6.3626	4.6875	Inferior_frontal_gyrus-pars_triangularis	Association	Cingulo-opercular_control	14	0.502	0	0.502	10776	L	1
70	-40.631	-4.1212	16.009	Precentral_gyrus	Association	Cingulo-opercular_control	14	0.502	0	0.502	10798	L	1
71	-35.49	4.767	12.458	Inferior_frontal_gyrus-pars_opercularis	Association	Cingulo-opercular_control	14	0.502	0	0.502	10970	L	1
72	-33.625	19.034	10.562	Inferior_frontal_gyrus-pars_triangularis	Association	Cingulo-opercular_control	14	0.502	0	0.502	11192	L	1
73	-50.121	36.557	-8.0649	Rostral_middle_frontal_gyrus	Association	Ventral_attention	7	0	0.502	0.502	11585	L	0
74	-16.954	-65.128	55.61	Superior_parietal_cortex	Association	Dorsal_attention	15	0	0.863	0	11994	L	1
75	-18.702	-54.546	62.788	Superior_parietal_cortex	Association	Dorsal_attention	15	0	0.863	0	12059	L	1
76	-13.429	-87.439	32.581	Superior_parietal_cortex	Sensory-motor	Visual	5	0	0	1	12318	L	1
77	-7.9617	-53.95	63.83	Precuneus	N/A	Unknown_with_memory_retrieval_activity	22	0	0.424	1	12611	L	1
78	-5.9753	-66.371	52.745	Precuneus	Association	Dorsal_attention	15	0	0.863	0	12637	L	1
79	-15.396	-80.854	37.629	Superior_parietal_cortex	Sensory-motor	Visual	5	0	0	1	12659	L	1
80	-11.537	-68.932	38.594	Precuneus	N/A	Unknown_with_memory_retrieval_activity	22	0	0.424	1	12936	L	1
81	-3.015	-69.952	42.471	Precuneus	Association	Default	3	1	0	0	12942	L	1
82	-3.3074	-62.282	34.115	Precuneus	Association	Default	3	1	0	0	13229	L	1
83	-8.8139	-47.449	42.866	Precuneus	Association	Default	3	1	0	0	13275	L	1
84	-36.669	-75.039	42.09	Inferior_parietal_cortex	Association	Default	3	1	0	0	13480	L	1
85	-26.317	-80.179	17.126	Inferior_parietal_cortex	Sensory-motor	Visual	5	0	0	1	13567	L	1
86	-38.85	-58.08	45.338	Inferior_parietal_cortex	N/A	Unknown_similar_to_Nelson_2010	26	1	0.706	0.353	13852	L	1
87	-32.093	-60.133	42.315	Superior_parietal_cortex	Association	Fronto-parietal control	6	0.961	0.961	0.059	14194	L	1
88	-34.253	-47.323	37.772	Superior_parietal_cortex	Association	Fronto-parietal control	6	0.961	0.961	0.059	14248	L	1
89	-22.025	-63.247	43.462	Inferior_parietal_cortex	Association	Dorsal_attention	15	0	0.863	0	14367	L	1
90	-26.646	-59.586	58.844	Superior_parietal_cortex	Association	Dorsal_attention	15	0	0.863	0	14721	L	1
91	-28.496	-44.272	60.234	Superior_parietal_cortex	Sensory-motor	Hand_somatomotor	4	0	1	1	14899	L	1
92	-26.392	-88.805	8.4057	Lateral_occipital_cortex	Sensory-motor	Visual	5	0	0	1	15114	L	1
93	-41.818	-70.731	6.257	Middle_temporal_gyrus	Sensory-motor	Visual	5	0	0	1	15241	L	1
94	-48.413	-71.799	13.772	Inferior_parietal_cortex	Sensory-motor	Visual	5	0	0	1	15483	L	1
95	-40.12	-79.995	18.008	Inferior_parietal_cortex	Sensory-motor	Visual	5	0	0	1	15609	L	1
96	-42.842	-65.876	31.503	Inferior_parietal_cortex	Association	Default	3	1	0	0	16296	L	1
97	-48.37	-34.844	24.83	Supramarginal_gyrus	Sensory-motor	Auditory	24	1	0	1	16784	L	1
